,API Name,Description,Category,Followers,Versions,API Tags,SDKs,How to,Source Code,Libraries,Developers,Changlog,Articles
97,"MASDomesticInterestRates,YearlyAPI"," The MAS Domestic Interest Rates, Yearly API provides annual summaries of interbank deposit and borrowing rates of different financial instruments offered by banks in Singapore. The API is used to publish 3-month US$ Singapore Interbank Offered Rates (SIBOR), Singapore Overnight Rate Average, Standing Facility Deposit Rate, and Standing Facility Deposit Rate. The API sends requests and returns responses in JSON format. Users can access both historical and current data.",Banking,1,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
98,"MASDomesticInterestRates,MonthlyAPI"," The MAS Domestic Interest Rates, Monthly API provides month-by-month summaries of interbank deposit and borrowing rates of different financial instruments offered by banks in Singapore. The API is used to publish 3-month US$ Singapore Interbank Offered Rates (SIBOR), Singapore Overnight Rate Average, Standing Facility Deposit Rate, and Standing Facility Deposit Rate. The API sends requests and returns responses in JSON format. Users can access both historical and current data.",Banking,1,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
99,"MASDomesticInterestRates,WeeklyAPI"," The MAS Domestic Interest Rates, Weekly API provides each week’s summaries of deposit and borrowing rates of different financial instruments offered by Singapore’s banking institutions. The API is used to publish 3-month US$ Singapore Interbank Offered Rates (SIBOR), Singapore Overnight Rate Average, Standing Facility Deposit Rate, and Standing Facility Deposit Rate. The API sends requests and returns responses in JSON format. Users can access both historical and current data.",Banking,1,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
100,"MASDomesticInterestRates,DailyAPI"," The MAS Domestic Interest Rates, Daily API provides each day’s summaries of interbank deposit and borrowing rates of different financial instruments offered by banks in Singapore. The API generates 3-month US$ Singapore Interbank Offered Rates (SIBOR), Singapore Overnight Rate Average, Standing Facility Deposit Rate, and Standing Facility Deposit Rate. The API sends requests and returns responses in JSON format. Users can access both historical and current data.",Banking,1,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
101,"MASTableI.2CMonetaryAuthority:AssetsandLiabilities,MonthlyAPI"," MAS Table I.2C Monetary Authority: Assets and Liabilities, Monthly API extracts tables of the monthly value of financial assets, liabilities, and other items held by the Monetary Authority of Singapore. The API shows foreign assets and a breakdown of the domestic credit held by the government and private sector. It also shows liabilities in terms of the reserve money, foreign liabilities, and government deposits. The API sends requests and returns responses in JSON format.",Financial,3,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
102,"MASTableI.2CMonetaryAuthority:AssetsandLiabilities,YearlyAPI"," MAS Table I.2C Monetary Authority: Assets and Liabilities, Yearly API publishes tables of the annual value of financial assets, liabilities, and other items held by the Monetary Authority of Singapore. The API shows foreign assets and a breakdown of the domestic credit held by the government and private sector. It also shows liabilities in terms of the reserve money, foreign liabilities, and government deposits. The API sends requests and returns responses in JSON format.",Financial,3,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
103,"MASTableI.4Banks:Deposits(ExcludingS$NCDs)ofDBUsbyTypesofNon-BankCustomers,MonthlyAPI"," The MAS Table I.4 Banks: Deposits (Excluding S$NCDs) of DBUs by Types of Non-Bank Customers, Monthly API provides summaries of deposits held at the end of a specified calendar month by non-bank entities in Singapore’s domestic banking units. This includes total deposits, Singapore government and statutory boards, deposits of non-bank financial institutions, deposits of other residents in Singapore, and deposits of residents outside Singapore. The API sends requests and returns responses in JSON format.",Banking,3,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
104,,,,,,,,,,,,,
105,OpenLibraryContentAPI," This Rest API provides a way to access resources with multiple formats in Open Library. To request any content, the requested format can be specified using Accept: header or as part of the URL. The currently available formats are JSON and RDF. Open Library has developed a suite of APIs to help developers get up and running with the provided reference data. They lend ebooks worldwide, and have over two million free ebooks available and 250,000 more in the lending library, where there is a web page for every book.",Library,5,REST," Library, Books, Open, Data, Reference", 0,0,0,0, 0, 1,
106,OpenLibraryQueryAPI," This Rest API allow you to query the Open Library system for matching objects. Open Library has developed a suite of APIs to help developers get up and running with the provided reference data. They lend ebooks worldwide, and have over two million free ebooks available and 250,000 more in the lending library, where there is a web page for every book.",Library,4,REST," Library, Books, Open, Data, Reference", 0,0,0,0, 0, 2,
107,OpenLibraryHistoryAPI," This REST API allows you to change history of any Open Library object that can be accessed by passing ?m=history query parameter to the resource url. Open Library has developed a suite of APIs to help developers get up and running with the provided reference data. They lend ebooks worldwide, and have over two million free ebooks available and 250,000 more in the lending library, where there is a web page for every book.",Library,2,REST," Library, Books, Open, Data, Reference", 0,0,0,0, 0, 2,
108,OpenLibraryCoversAPI," This API provides a programmatic method to access the book covers and author photos available in the Open Library Covers Repository. Book covers can be accessed using Cover ID (internal cover ID), OLID (Open Library ID), ISBN, OCLC, LCCN and other identifiers like librarything and goodreads. Open Library has developed a suite of APIs to help developers get up and running with the provided reference data. They lend ebooks worldwide, and have over two million free ebooks available and 250,000 more in the lending library, where there is a web page for every book.",Books,19,REST," Books, Art, Images, Reference", 0,0,0,0, 0, 0,
109,OpenLibraryListsAPI," This is a beta of Open Library lists API and is still under development. It returns user list, create list, read list, update list and more. Open Library has developed a suite of APIs to help developers get up and running with the provided reference data. They lend ebooks worldwide, and have over two million free ebooks available and 250,000 more in the lending library, where there is a web page for every book.",Library,5,REST," Library, Books, Open, Data, Reference", 0,0,0,0, 0, 0,
110,TookanAPI," The Tookan API in RESTful architecture interacts with personal information data in real-time, available in JSON format under HTTPS protocol and Key authentication. It aims to be useful to manage pickup & delivery, beauty, mobile workforce, repair, health, and home services.",Shipping,7,RESTv2," Shipping, Agents, Customer, Service, Management, Personal, Information, Management", 0,0,0,0, 0, 3, 1
111,OpenLibraryRecentChangesAPI," This API provides a way to access RecentChanges to documents in Open Library and returns a list of most recent changes in JSON format. It also retrieves given date, kind and bulk data. Open Library has developed a suite of APIs to help developers get up and running with the provided reference data. They lend ebooks worldwide, and have over two million free ebooks available and 250,000 more in the lending library, where there is a web page for every book.",,1,REST,, 0,0,0,0, 0, 1,
112,RebelMailAPI," The Rebel Mail API allows you to use web functionality in emails. It enables you to integrate in-email behavior into your datastores in real time. Developers can build one email that works across all major email clients and deploy and/or report with your existing ESP. Rebel provides a way to make emails interactive while not requiring plug-ins and currently supports SendGrid, Mandrill, SailThru, Mailgun ESPs, and more.",Email,3,REST," Email, Analytics, Engagement, Marketing, Software-as-a-Service", 0,0,0,0, 0, 5, 2
113,RebelMailUserAPI," The Rebel Mail User API allows you to send interactive emails from your application immediately. The emails work in all major clients including; iOS Mail, Apple Mail, Gmail, Yahoo, and Android. Rebel provides a way to make emails interactive while not requiring plug-ins and currently supports SendGrid, Mandrill, SailThru, Mailgun ESPs and more.",Email,2,REST," Email, Software-as-a-Service", 0,0,0,0, 0, 4, 1
114,OpenLibrarySearchAPI," This API is provided by Open Library and allows you to search library data. Open Library has developed a suite of APIs to help developers get up and running with the provided reference data. They lend ebooks worldwide, and have over two million free ebooks available and 250,000 more in the lending library, where there is a web page for every book.",Library,11,REST," Library, Books, Open, Data, Reference, Search", 0,0,0,0, 0, 0,
115,OpenLibrarySubjectsAPI," This API returns Open Library data details of a subject. When query parameter details=true is passed, related subjects, prominent publishers, prolific authors and publishing history are also included in the response. Open Library has developed a suite of APIs to help developers get up and running with the provided reference data. They lend ebooks worldwide, and have over two million free ebooks available and 250,000 more in the lending library, where there is a web page for every book.",Library,12,REST," Library, Books, Open, Data, Reference, Search", 0,0,0,0, 0, 0,
116,MusementAPI," The Musement API allows developers to integrate information on tours, attractions, activities, and events into their websites and applications. The available information includes 5,000+ events in 300 cities and 50 countries. Developers can get each activity's information, photos, and content. Musement allows customers to book their reservations and get instant confirmation with a paperless voucher or e-ticket. Protected documentation at https://musement.gelato.io/developers/new?protected=1
For API support, contact api-support@musement.com",Travel,23,Unspecified," Travel, Booking, Location, Tourism", 0,0,0,0, 0, 3, 1
117,SpinProxiesAPI," SpinProxies curates a collection of reliable and fast public HTTP, HTTPS and SOCKS proxies. Each proxy is tested every 2 minute to ensure its availability. The SpinProxies RESTful API allows developers to get these proxies in JSON/TXT format using several filters including country specific searches.",Monitoring,5,RESTv1," Monitoring, Addresses, Performance, Ratings, Testing", 0,0,0,0, 0, 3, 1
118,IngoMoneyPushPayAPI," The Ingo Money Push Pay API integrates payments into applications, providing pre-printed payroll, government checks, and mobile check deposits. For additional information about authentication, requests, and responses, ask for help@ingomoney.com",Payments,22,Unspecified," Payments, Accounts, Currency, Financial, Human, Resources", 0,0,0,0, 0, 1, 1
119,ContinuumConnectAPI," The Continuum Connect API offers developers low-latency access to real-time streaming quotes and historical data, as well as a stock trading gateway. Continuum Connect's gateway has access to over seventy-five sources for market data and more than forty exchanges for order routing. This API is provided via an ASP model.",Transactions,7,Streaming," Transactions, Data, Data-as-a-Service, Economics, Financial, Stocks", 0,0,0,0, 0, 2, 1
120,CarImageryAPI," The Car Imagery API allows developers to search for stock photographs of cars by make, model, and (optionally) year and trim. The API is available in both free and paid versions, although the free version comes with query limits. The Car Imagery service allows users to include licensed stock images of cars on their websites.",Photos,135,RPC," Photos, Auto", 0,0,0,0, 0, 5, 3
121,"MASTableI.4Banks:Deposits(ExcludingS$NCDs)ofDBUsbyTypesofNon-BankCustomers,YearlyAPI"," The MAS Table I.4 Banks: Deposits (Excluding S$NCDs) of DBUs by Types of Non-Bank Customers, Yearly API provides summaries of deposits held at the end of a specified year by non-bank entities in Singapore’s domestic banking units. This includes total deposits, Singapore government and statutory boards, deposits of non-bank financial institutions, deposits of other residents in Singapore, and deposits of residents outside Singapore. The API sends requests and returns responses in JSON format.",Banking,4,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
122,"MASTableI.5ABanks:LoansandAdvancesofDBUstoNon-BankCustomersbyIndustry,MonthlyAPI"," The MAS Table I.5A Banks: Loans and Advances of DBUs to Non-Bank Customers by Industry, Monthly API summarizes monthly data of loans and advances channeled to different industry categories of non-bank customers by Singapore’s domestic banking units. This includes the totals and breakdowns of loans and advances, loans to businesses, and consumer loans. The API’s main industry classifications include: agriculture, mining and quarrying; manufacturing; building and construction; general commerce; transport, storage, and communication; Business services; financial institutions; private and professional individuals – business purposes; and others. This API sends requests and returns responses in JSON format.",Banking,3,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
123,"MASTableI.5ABanks:LoansandAdvancesofDBUstoNon-BankCustomersbyIndustry,YearlyAPI"," The MAS Table I.5A Banks: Loans and Advances of DBUs to Non-Bank Customers by Industry, Yearly API summarizes year end data of loans and advances channeled to different industry categories of non-bank customers by Singapore’s domestic banking units. This includes the totals and breakdowns of loans and advances, loans to businesses, and consumer loans. The API’s main industry classifications include: agriculture, mining and quarrying; manufacturing; building and construction; general commerce; transport, storage, and communication; Business services; financial institutions; private and professional individuals – business purposes; and others. This API sends requests and returns responses in JSON format.",Banking,3,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
124,"MASTableI.5BBanks:LoansandAdvancesofACUstoNon-BankCustomersbyIndustry,MonthlyAPI"," The MAS Table I.5B Banks: Loans and Advances of ACUs to Non-Bank Customers by Industry, Monthly API summarizes monthly data of loans and advances channeled by Singapore’s Asian Currency Units to different industry categories of non-bank customers. This includes the totals and breakdowns of loans and advances, loans to businesses, and consumer loans. The API’s main industry classifications include: agriculture, mining and quarrying; manufacturing; building and construction; general commerce; transport, storage, and communication; Business services; financial institutions; private and professional individuals – business purposes; and others. This API sends requests and returns responses in JSON format.",Banking,3,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
125,"MASExchangeRates–AverageforPeriod,YearlyAPI"," The MAS Exchange Rates – Average for Period, Yearly API provides historical and present summaries of the average exchange rates that prevailed in a particular year. The API can be used to extract the exchange rates of the U.S. Dollar, Euro, Pound Sterling, Chinese Renminbi, Canadian Dollar, and several other currencies of Asian-Pacific and European countries. The API sends requests and returns responses in JSON format.",Financial,2,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
126,"MASExchangeRates–AverageforPeriod,MonthlyAPI"," The MAS Exchange Rates – Average for Period, Monthly API provides historical and present summaries of the average exchange rates that prevailed in a particular month. The API can be used to extract the exchange rates of the U.S. Dollar, Euro, Pound Sterling, Chinese Renminbi, Canadian Dollar, and several other currencies of Asian-Pacific and European countries. The API sends requests and returns responses in JSON format.",Financial,4,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
127,"MASExchangeRates–AverageforPeriod,WeeklyAPI"," The MAS Exchange Rates – Average for Period, Weekly API provides historical and present summaries of the average exchange rates that prevailed in a particular Week. The API can be used to extract the exchange rates of the U.S. Dollar, Euro, Pound Sterling, Chinese Renminbi, Canadian Dollar, and several other currencies of Asian-Pacific and European countries. The API sends requests and returns responses in JSON format.",Financial,2,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
128,"MASExchangeRates-EndofPeriod,DailyAPI"," The MAS Exchange Rates - End of Period, Daily API provides summaries of historical and present data of the closing foreign currency exchange rates for a particular day. The API can be used to extract the exchange rates of the U.S. Dollar, Euro, Pound Sterling, Chinese Renminbi, Canadian Dollar, and several other currencies of Asian-Pacific and European countries. The API sends requests and returns responses in JSON format.",Financial,2,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
129,"MASExchangeRates-EndofPeriod,WeeklyAPI"," The MAS Exchange Rates - End of Period, Weekly API provides summaries of historical and present data of the closing foreign currency exchange rates for a particular week. The API shows exchange rates of the U.S. Dollar, Euro, Pound Sterling, Chinese Renminbi, Canadian Dollar, and many other currencies of Asia-Pacific and European countries. The API sends requests and returns responses in JSON format.",Financial,2,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
130,,,,,,,,,,,,,
131,"MASExchangeRates-EndofPeriod,MonthlyAPI"," The MAS Exchange Rates - End of Period, Monthly API provides summaries of historical and present data of the closing foreign currency exchange rates for a particular Month. The API shows exchange rates of the U.S. Dollar, Euro, Pound Sterling, Chinese Renminbi, Canadian Dollar, and many other currencies of Asia-Pacific and European countries. The API sends requests and returns responses in JSON format.",Financial,2,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
132,"MASExchangeRates-EndofPeriod,YearlyAPI"," The MAS Exchange Rates - End of Period, Yearly API provides summaries of historical and present data of the closing foreign currency exchange rates for a particular year. The API shows exchange rates of the U.S. Dollar, Euro, Pound Sterling, Chinese Renminbi, Canadian Dollar, and many other currencies of Asia-Pacific and European countries. The API sends requests and returns responses in JSON format.",Financial,2,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
133,ETwaterUnityAPI," This API is a scalable open platform for water management and other environmental services. It is a set of data from many different sources used to transform and analyze this information using a set of REST APIs to directly gain access to the platform’s services and insights for easy integration. Some features include profiles and details about soil types and characteristics, plant type and growth factors specifically related to UV, watering needs and more. The Smart Sprinkler Service allows you to water only and precisely when your lawn, garden or yard needs it.",Water,6,RESTv1.0," Water, Environment, Management", 0,0,0,0, 0, 3, 1
134,BCLeasyPDFCloudAPI," The BCL easyPDF Cloud API is a simple platform for creating, generating, and automating PDF documents. Users do not require different APIs for different file formats, such as Excel, HTML, PowerPoint, Word, and images, because the BCL easyPDF Cloud API is a one-stop solution for all these file formats. The API sends requests and returns responses in HTTP and JSON formats, respectively. Its authorization requires Basic OAuth2 and token authentication. The API’s documentation is accompanied by client libraries and sample source codes.",Conversions,6,RESTv1," Conversions, Documents, PDF", 5,0,4,0, 0, 3, 1
135,OctivAPI," Octiv is a platform for creating, sending, signing, and storing documents. Developers can use the Octiv API to automate the creation of documents and to send documents for electronic signature. Documents can be generated into a number of file formats including HTML5, Microsoft Word, Microsoft PowerPoint, and PDF.",Documents,6,RESTv2," Documents, Automation, Content, Management, Contracts, Electronic, Signature, Presentations, Sales, Storage, Word, Processing", 0,0,0,0, 0, 8, 1
136,DizzyjamAPI," This API provides access to an online shop for selling merchandise to your fans. It returns Manage calls, Catalogue calls, Order calls and more. Dizzyjam is for people who make music and want merchandise on demand.",Music,3,RESTv1.0," Music, eCommerce, Products", 0,0,0,0, 0, 2, 1
137,W3CConfinementwithOriginWebLabelsAPI," The W3C Confinement with Origin Web Labels API is a specification that defines an API for specifying the privacy and integrity policies on data via origin labels. It also specifies mechanisms for confining code according to those policies. This specification is a work in progress and may be updated, replaced, or rendered obsolete at any time.",Privacy,1,Native/Browser," Privacy, Standards", 0,0,0,0, 0, 0,
138,GoogleSlidesAPI," The Google Slides API provides programmatic access to presentations that integrate data from various sources. This API allows developers to create slide decks automatically from user and system-provided data. Predesigned templates can be combined with a database containing customer details in order to create finished presentations. Request objects allow creating slides, apply transforms to elements, and change the order of slides.",Presentations,14,REST," Presentations, Collaboration", 9,1,11,0, 0, 11, 1
139,"MASInterestRatesofBanksandFinanceCompanies,MonthlyAPI"," The MAS Interest Rates of Banks and Finance Companies, Monthly API allows users to access the average monthly borrowing rates and lending rates that Singaporean financial institutions applied on customer deposits and debt instruments. Users can access historical and present data of monthly prime lending rates and banks savings deposits as well as 3-month, 6-month, and 12-month banks fixed deposits. It also shows the monthly interest rates of finance companies savings deposits and 3-month, 6-month, and 12-month finance companies fixed deposits. The interest rates that the API generate the average of rates provided by 10 leading banks and finance companies. This API sends and returns JSON-formatted requests and responses.",Financial,1,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
140,"MASInterestRatesofBanksandFinanceCompanies,YearlyAPI"," The MAS Interest Rates of Banks and Finance Companies, Monthly API allows users to access the average annual borrowing rates and lending rates that Singaporean financial institutions applied on customer deposits and debt instruments. Users can access historical and present data of year over year prime lending rates and banks savings deposits as well as 3-month, 6-month, and 12-month banks fixed deposits. It also shows annual interest rates of finance companies savings deposits and 3-month, 6-month, and 12-month finance companies fixed deposits. The interest rates that the API generate the average of rates provided by 10 leading banks and finance companies. This API sends and returns JSON-formatted requests and responses.",Financial,3,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
141,"MASTableI.1MoneySupply(DBU),MonthlyAPI"," The MAS Table I.1 Money Supply (DBU), Monthly API provides monthly summaries of currency circulation and deposits in Singapore. The API classifies the monthly currency circulation and deposits into M1 and M2 categories representing the banking system and the M3 category representing non-banking financial institutions. It shows the currency in active circulation, demand deposits, quasi money, and net deposits with non-bank financial institutions. This API sends and returns JSON-formatted requests and responses.",Financial,3,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
142,"MASTableI.1MoneySupply(DBU),YearlyAPI"," The MAS Table I.1 Money Supply (DBU), Yearly API provides monthly summaries of currency circulation and deposits in Singapore. The API classifies the annual currency circulation and deposits into M1 and M2 categories representing the banking system and the M3 category representing non-banking financial institutions. It shows the currency in active circulation, demand deposits, quasi money, and net deposits with non-bank financial institutions. This API sends and returns JSON-formatted requests and responses.",Financial,2,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
143,"MASTableI.13AsianDollarMarket–AssetsofACUs,MonthlyAPI"," Singaporean banks and other financial institutions authorized to process transactions in the Asian Dollar market are required to segment the Asian Currency Unit (ACU) as a separate accounting unit. The MAS Table I.13 Asian Dollar Market – Assets of ACUs, Monthly API supports the retrieval of end-of-month records of the ACU assets transacted in the Asian Dollar Market. Users can search the total assets, loans to non-bank customers - both resident and non-resident, interbank funds, and debt equities and securities as well as other assets. This API sends and returns JSON-formatted requests and responses.",Financial,2,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
144,"MASTableI.13AsianDollarMarket–AssetsofACUs,YearlyAPI"," Singaporean banks and other financial institutions authorized to process transactions in the Asian Dollar market are required to segment the Asian Currency Unit (ACU) as a separate accounting unit. The MAS Table I.13 Asian Dollar Market – Assets of ACUs, Yearly API supports the retrieval of end-of-year records of the ACU assets transacted in the Asian Dollar Market. Users can search the total assets, loans to non-bank customers - both resident and non-resident, interbank funds, and debt equities and securities as well as other assets. This API sends and returns JSON-formatted requests and responses.",Financial,2,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
145,"MASTableI.17CreditandChargeCardStatistics,MonthlyAPI"," The MAS Table I.17 Credit and Charge Card Statistics, Monthly API allows users to extract monthly summaries of credit card transactions at the Monetary Authority of Singapore website. The API can be used to export different types of statistic that include: number of main and supplementary cards, total card billings, rollover balances, bad debt written off, and charge-off rates. The API sends requests and returns responses in JSON format.",Banking,3,REST," Banking, Analytics, Billing, Credit, Cards, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
146,"MASTableI.17CreditandChargeCardStatistics,YearlyAPI"," The MAS Table I.17 Credit and Charge Card Statistics, Yearly API allows users to extract annual summaries of credit card transactions at the Monetary Authority of Singapore website. The API can be used to export different types of statistic that include: number of main and supplementary cards, total card billings, rollover balances, bad debt written off, and charge-off rates. The API sends requests and returns responses in JSON format.",Banking,2,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
147,"MASTableI.5BBanks:LoansandAdvancesofACUstoNon-BankCustomersbyIndustry,YearlyAPI"," The MAS Table I.5B Banks: Loans and Advances of ACUs to Non-Bank Customers by Industry, Yearly API summarizes year end data of loans and advances channeled by Singapore’s Asian Currency Units to different industry categories of non-bank customers. This includes the totals and breakdowns of loans and advances, loans to businesses, and consumer loans. The API’s main industry classifications include: agriculture, mining and quarrying; manufacturing; building and construction; general commerce; transport, storage, and communication; Business services; financial institutions; private and professional individuals – business purposes; and others. This API sends requests and returns responses in JSON format.",Banking,2,REST," Banking, Analytics, Currency, Financial, Government, Statistics", 0,0,0,0, 0, 0,
148,"MASTableII.2FinanceCompanies:LoansandAdvances,MonthlyAPI"," The MAS Table II.2 Finance Companies: Loans and Advances, Monthly API is used to extract monthly data of total credit issued by Singaporean finance companies. The API shows a breakdown of the total amount of loans and advances issued by the Finance Companies with respect to housing loans, hire purchase finance, leasing finance, and others. This API sends requests and returns responses in JSON format.",Financial,2,REST," Financial, Analytics, Banking, Currency, Statistics", 0,0,0,0, 0, 0,
149,"MASTableII.2FinanceCompanies:LoansandAdvances,YearlyAPI"," The MAS Table II.2 Finance Companies: Loans and Advances, Yearly API is used to extract annual data of total credit issued by Singaporean finance companies. The API shows a breakdown of the total amount of loans and advances issued by the Finance Companies with respect to housing loans, hire purchase finance, leasing finance, and others. This API sends requests and returns responses in JSON format.",Financial,2,REST," Financial, Analytics, Banking, Currency, Government, Statistics", 0,0,0,0, 0, 0,
150,"MASTableIII.7SGX-ST:PriceIndex,NumberofListedCompanies,TurnoverandCapitalisation,MonthlyAPI"," The MAS Table III.7 SGX-ST: Price Index, Number of Listed Companies, Turnover and Capitalisation, Monthly API provides summaries of monthly trading activities at the Singapore Stock Exchange (SGX). The API shows SGX’s proceedings with reference to the Straits Times Index, Singapore Regional Index, listed companies, market capitalization, and turnover value. This API sends requests and returns responses in JSON format.",Stocks,5,REST," Stocks, Analytics, Currency, Financial, Statistics", 0,0,0,0, 0, 0,
151,"MASTableIII.7SGX-ST:PriceIndex,NumberofListedCompanies,TurnoverandCapitalisation,YearlyAPI"," The MAS Table III.7 SGX-ST: Price Index, Number of Listed Companies, Turnover and Capitalisation, Yearly API provides summaries of annual trading activities at the Singapore Stock Exchange (SGX). The API shows SGX’s proceedings with reference to the Straits Times Index, Singapore Regional Index, listed companies, market capitalization, and turnover value. This API sends requests and returns responses in JSON format.",Stocks,3,REST," Stocks, Analytics, Currency, Financial, Statistics", 0,0,0,0, 0, 0,
152,AmdorenWeatherAPI, The Amdoren Weather API allows developers to integrate the 5-day weather forecast into their websites and applications. Forecasts are presented in a simple manner without extra information so that weather conditions can be determined at a glance. This API is provided free of charge.,Weather,16,RESTv1.0, Weather, 0,0,0,0, 0, 2, 1
153,AmdorenCurrencyAPI, The Amdoren Currency API provides programmatic access to up-to-date currency exchange rates and currency conversions for more than 150 currencies. This API may be used in both personal and commercial websites and applications. This API is provided free of charge.,Currency,19,RESTv1.0," Currency, Conversions, Financial", 0,0,0,0, 0, 2, 1
154,AmdorenTimeZoneAPI," The Amdoren Time Zone API allows developers to programmatically access local time, UTC offset, daylight savings, and time zone information. This API may be used in both personal and commercial websites and applications. It is provided free of charge.",Time,8,RESTv1.0," Time, Reference", 0,0,0,0, 0, 2, 1
155,IrisAPI," The Iris API provides developers with full text search access to documents like reports, transcripts, news, and press releases that have been collected and curated by developers for their own products and services. These documents are made available for use by other developers free of charge.",Search,148,RESTv0.1," Search, Documents, Natural, Language, Processing", 0,0,0,0, 0, 1, 1
156,,,,,,,,,,,,,
157,TravelpayoutsDataAPI," The Travelpayouts Data API allows users to integrate and continually update statistical air travel data into their online content platforms. The API allows users to populate their websites and blogs with clusters of travel data, such as flight pricing trends, ticket offers, and popular route and destination searches, for their customers. The API is currently a free version, although its access requires API key and token authentication. It sends requests and returns responses in JSON format.",AirTravel,9,RESTv2," Air, Travel, Analytics, Data, Events, Holidays, Search, Travel", 2,0,4,0, 0, 6, 1
158,FunkbitSplitabillAPI," The Funkbit Splitabill API allows users to monitor and share bill expenses. Developers can use any of the programming languages, such as Java, Python, JavaScrip, and Ruby, to integrate the RESTful API into payment applications. This API sends requests in HTTP format and returns responses in JSON format. The current version of the API is a beta release.",Billing,3,RESTv1," Billing, Financial, Payments", 1,0,0,0, 0, 3, 1
159,SYNQAPI," The SYNQ API covers uploading, storage, and trans-coding to all necessary formats for content delivery purposes. Additionally, it allows developers attach custom video metadata and create Webhook notifications. The API supports JSON, HTML and Webhook responses.",Video,11,RESTv2.0.0," Video, Content, Management, Encoding, Transcoding", 1,0,0,0, 0, 3, 1
160,ParrotFlowerPowerUserAPI," This API provides access to user data using the Flower Power Cloud and returns, Get profile and Obtain version info. The Parrot Pot is a smart flowerpot that helps your plants with a self-watering system and four built-in sensors that monitor light, temperature, soil moisture and fertilizer levels in real time. It sends out customized recommendations and alerts, to help you better care for your plants.",InternetofThings,5,Indirectv4.0," Internet, of, Things, Agriculture, Environment, Gadgets, Water", 0,0,0,0, 0, 0,
161,ParrotFlowerPowerCloudAPI," This API provides access to connect to the Flower Power Cloud, and retrieve your sensors’ data from it. The Parrot Pot is a smart flowerpot that helps your plants with a self-watering system and four built-in sensors that monitor light, temperature, soil moisture and fertilizer levels in real time. It sends out customized recommendations and alerts to help you better care for your plants.",InternetofThings,8,Indirectv1.0," Internet, of, Things, Agriculture, Environment, Gadgets, Water", 1,0,0,0, 0, 1,
162,ParrotFlowerPowerSensorDataAPI," This API provides access to sensor data using the Flower Power Cloud and returns Get Samples for Location, Obtain Sync Data and Obtain garden location statuses. The Parrot Pot is a smart flowerpot that helps your plants with a self-watering system and four built-in sensors that monitor light, temperature, soil moisture and fertilizer levels in real time. It sends out customized recommendations and alerts to help you better care for your plants.",InternetofThings,3,Indirectv6.0," Internet, of, Things, Agriculture, Environment, Gadgets, Water", 0,0,0,0, 0, 1,
163,ParrotSequoiaAPI," The Parrot Sequoia RESTful API supports JSON and URI Query String/CRUD formats as requests and JSON responses. Developers can capture, config, calibrate, download USB, serial or IP layers to communicate with PTP compliant cameras. The Parrot Sequoia camera can be controlled over USB using PTP protocol and over WIFI using PTP/IP or HTTP-API. Both will allow to change settings, calibrate the sensors, trigger image capture, and manage internal memory.",InternetofThings,4,REST," Internet, of, Things, Agriculture, Cameras, Images, Robots", 1,0,5,0, 0, 7, 2
